aqs id,Date_local,latitude_x,longitude_x,Avg temp Centrigrade,sunshine minutes,pm2.5_conc
01-073-0023,10/22/2017,33.553056,-86.815,21.6,,6.4
01-073-0023,10/25/2017,33.553056,-86.815,10.9,,8.1
01-073-0023,10/28/2017,33.553056,-86.815,11.5,,0.5
01-073-0023,10/31/2017,33.553056,-86.815,14.5,,13.9
01-073-0023,11/3/2017,33.553056,-86.815,21.2,,10.9
01-073-0023,11/6/2017,33.553056,-86.815,21,,12
01-073-0023,11/9/2017,33.553056,-86.815,11,,7.1
01-073-0023,11/12/2017,33.553056,-86.815,13.3,,8.9
01-073-0023,11/15/2017,33.553056,-86.815,11.9,,22.9
01-073-0023,11/18/2017,33.553056,-86.815,17.9,,6.4
01-073-0023,11/21/2017,33.553056,-86.815,9.1,,17.2
01-073-0023,11/24/2017,33.553056,-86.815,8.4,,21.6
01-073-0023,11/27/2017,33.553056,-86.815,8.4,,17.7
01-073-0023,11/30/2017,33.553056,-86.815,15.8,,14.8
01-073-0023,12/3/2017,33.553056,-86.815,11.4,,24.1
01-073-0023,12/6/2017,33.553056,-86.815,6.5,,5.8
01-073-0023,12/9/2017,33.553056,-86.815,0.9,,6.1
01-073-0023,12/15/2017,33.553056,-86.815,3.5,,13.5
01-073-0023,12/18/2017,33.553056,-86.815,10.7,,13
01-073-0023,12/21/2017,33.553056,-86.815,13,,4.7
01-073-0023,12/24/2017,33.553056,-86.815,7.7,,2.4
01-073-0023,12/27/2017,33.553056,-86.815,4,,9.4
01-073-0023,12/30/2017,33.553056,-86.815,3.5,,14.4
01-073-0023,1/2/2018,33.553056,-86.815,-6.2,,10.7
01-073-0023,1/26/2018,33.553056,-86.815,8.4,,22.3
01-073-0023,1/29/2018,33.553056,-86.815,10.7,,6.2
01-073-0023,2/1/2018,33.553056,-86.815,13.3,,8.6
01-073-0023,2/4/2018,33.553056,-86.815,9.2,,10.1
01-073-0023,2/7/2018,33.553056,-86.815,12.6,,5.9
01-073-0023,2/10/2018,33.553056,-86.815,14.8,,3.2
01-073-0023,2/13/2018,33.553056,-86.815,10.3,,11.4
01-073-0023,2/16/2018,33.553056,-86.815,18.8,,4.4
01-073-0023,2/19/2018,33.553056,-86.815,17.9,,6.2
01-073-0023,2/22/2018,33.553056,-86.815,23.2,,9.6
01-073-0023,2/25/2018,33.553056,-86.815,15.8,,5.3
01-073-0023,2/28/2018,33.553056,-86.815,17,,6.5
01-073-0023,3/3/2018,33.553056,-86.815,9.9,,5
01-073-0023,3/6/2018,33.553056,-86.815,16,,5.2
